Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A99633051-001-04-7	BRD-A99633051	Ethosuximide	Prestwick Chemical Inc.	yes				"MeSH:D004832 (Epilepsy, Absence);MeSH:D012640 (Seizures)"	UseClass:8121 (anti-convulsant)			
BRD-K00141480-001-03-0	BRD-K00141480	Tanshinone IIA	Biomol International Inc.									
BRD-K00184207-001-02-4	BRD-K00184207	"6-FORMYLINDOLO [3,2-B] CARBAZOLE"	Biomol International Inc.	yes		GeneID:1543 (activates CYP1A1)						
BRD-K00535541-001-02-2	BRD-K00535541	AMINACRINE	MicroSource Discovery Systems Inc.									
BRD-K00662280-001-01-1	BRD-K00662280	CL 218872	Biomol International Inc.									
BRD-K00673382-001-05-6	BRD-K00673382	Famotidine	Prestwick Chemical Inc.									
BRD-K00824317-001-03-0	BRD-K00824317	Flurandrenolide	Prestwick Chemical Inc.									
BRD-K00938507-001-05-3	BRD-K00938507	Sulfamethoxypyridazine	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K01095011-001-03-5	BRD-K01095011	Finasteride	Prestwick Chemical Inc.									
BRD-K01188359-065-02-5	BRD-K01188359	vinblastine	Biomol International Inc.									
BRD-K01225247-311-03-7	BRD-K01225247	Harmol hydrochloride monohydrate	Prestwick Chemical Inc.									
BRD-K01244426-236-05-5	BRD-K01244426	Cloxacillin sodium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K01292756-001-06-0	BRD-K01292756	PIMOZIDE	Biomol International Inc.									
BRD-K01416914-001-02-3	BRD-K01416914	SIMAZINE	MicroSource Discovery Systems Inc.									
BRD-K01473791-001-02-2	BRD-K01473791	"2,4-DICHLOROPHENOXYACETIC ACID"	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)			
BRD-K01555864-001-02-8	BRD-K01555864	DIBENZOYLMETHANE	MicroSource Discovery Systems Inc.									
BRD-K01624546-001-02-8	BRD-K01624546	DOCOSATRIENOIC ACID (22:3 n-3)	Biomol International Inc.									
BRD-K01648091-001-01-8	BRD-K01648091	LE 300	Biomol International Inc.									
BRD-K01663662-003-03-8	BRD-K01663662	Diphenidol hydrochloride	Prestwick Chemical Inc.									
BRD-K01815685-001-02-3	BRD-K01815685	INDOLE-3-CARBINOL	MicroSource Discovery Systems Inc.	yes		GeneID:1021 (affects CDK6)	GO:0007050 (activates cell cycle arrest);GO:0007049 (affects cell cycle)		UseClass:8137 (anti-oxidant)			
BRD-K01824921-001-02-9	BRD-K01824921	"1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]"	MicroSource Discovery Systems Inc.	yes		GeneID:134 (inhibits ADORA1)						
BRD-K01836637-001-03-6	BRD-K01836637	OSAJIN	MicroSource Discovery Systems Inc.									
BRD-K01868942-001-01-3	BRD-K01868942	RS 23597-190	Biomol International Inc.									
BRD-K01902415-001-02-6	BRD-K01902415	WY-14643	Biomol International Inc.	yes		GeneID:5465 (activates PPARA)		MeSH:D001161 (Arteriosclerosis)	UseClass:8089 (cardiovascular agent)			
BRD-K01950558-001-05-5	BRD-K01950558	Succinylsulfathiazole	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K01978082-001-02-8	BRD-K01978082	10-hydroxycamptothecin	Biomol International Inc.									
BRD-K02070226-001-02-0	BRD-K02070226	PACHYRRHIZIN	MicroSource Discovery Systems Inc.									
BRD-K02157199-001-02-8	BRD-K02157199	cytochalasin B	Biomol International Inc.									
BRD-K02265150-001-05-9	BRD-K02265150	Amoxapine	Prestwick Chemical Inc.	yes			GO:0001504 (inhibits neurotransmitter uptake)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine)			
BRD-K02275692-003-03-4	BRD-K02275692	Cefotiam hydrochloride	Prestwick Chemical Inc.									
BRD-K02292852-335-03-1	BRD-K02292852	Cefoperazone dihydrate	Prestwick Chemical Inc.									
BRD-K02404261-001-03-5	BRD-K02404261	CAFFEINE	MicroSource Discovery Systems Inc.	yes			"GO:0001609 (inhibits adenosine receptor activity, G-protein coupled)"		UseClass:8100 (cardiac stimulant);UseClass:8113 (cns agent)			
BRD-K02407574-001-03-0	BRD-K02407574	Parbendazole	Prestwick Chemical Inc.									
BRD-K02548315-001-02-7	BRD-K02548315	ALACHLOR	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)			
BRD-K02607075-333-03-6	BRD-K02607075	Tubocurarine chloride pentahydrate (+)	Prestwick Chemical Inc.									
BRD-K02715688-003-03-5	BRD-K02715688	Hydrastine hydrochloride	Prestwick Chemical Inc.									
BRD-K02733959-236-02-8	BRD-K02733959	Cefuroxime sodium salt	Prestwick Chemical Inc.									
BRD-K02764365-001-03-7	BRD-K02764365	Methiazole	Prestwick Chemical Inc.									
BRD-K02837237-001-02-9	BRD-K02837237	"S,S,S,-TRIBUTYLPHOSPHOROTRITHIOATE"	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide);UseClass:8149 (insecticide)			
BRD-K02867583-300-05-5	BRD-K02867583	Minaprine dihydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)		GO:0015872 (affects dopamine transport)		UseClass:8114 (neuroprotective agent);UseClass:8120 (psychotropic agent)			
BRD-K02953697-002-03-3	BRD-K02953697	Naringin hydrate	Prestwick Chemical Inc.	yes				MeSH:D006470 (Hemorrhage)	UseClass:8101 (anti-hemorrhagic)			
BRD-K02965577-001-02-6	BRD-K02965577	"24,25-DIHYDROXYVITAMIN D3"	Biomol International Inc.	yes			GO:0005262 (inhibits calcium channel activity);GO:0006816 (inhibits calcium ion transport)					
BRD-K03067624-300-02-9	BRD-K03067624	Emetine dihydrochloride	Prestwick Chemical Inc.									
BRD-K03070961-001-02-8	BRD-K03070961	"ARACHIDONIC ACID (20:4, n-6)"	Biomol International Inc.									
BRD-K03319035-003-02-7	BRD-K03319035	Maprotiline hydrochloride	Prestwick Chemical Inc.									
BRD-K03440695-001-02-6	BRD-K03440695	Boldine	Prestwick Chemical Inc.									
BRD-K03463894-001-02-7	BRD-K03463894	HAEMATOMMIC ACID	MicroSource Discovery Systems Inc.									
BRD-K03470412-001-02-5	BRD-K03470412	2-PROPYL-3-HYDROXYETHYLENEPYRAN-4-ONE	MicroSource Discovery Systems Inc.									
BRD-K03600606-001-02-3	BRD-K03600606	CATECHIN PENTABENZOATE	MicroSource Discovery Systems Inc.									
BRD-K03981224-001-02-9	BRD-K03981224	Ethisterone	Prestwick Chemical Inc.									
BRD-K04010869-001-02-6	BRD-K04010869	PROSTAGLANDIN A1	Biomol International Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K04111260-001-01-9	BRD-K04111260	S(-)-RACLOPRIDE	Biomol International Inc.									
BRD-K04185004-003-03-6	BRD-K04185004	Benoxinate hydrochloride	Prestwick Chemical Inc.									
BRD-K04218075-048-03-4	BRD-K04218075	"Clomiphene citrate (Z,E)"	Prestwick Chemical Inc.									
BRD-K04430056-001-02-9	BRD-K04430056	7-NITROINDAZOLE	MicroSource Discovery Systems Inc.	yes		GeneID:4842 (inhibits NOS1)	GO:0004517 (inhibits nitric-oxide synthase activity)					
BRD-K04704168-003-03-6	BRD-K04704168	Clemizole hydrochloride	Prestwick Chemical Inc.									
BRD-K04804440-311-02-3	BRD-K04804440	Ciprofloxacin hydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)	GeneID:1544 (inhibits CYP1A2)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K04877770-001-03-4	BRD-K04877770	B581	Biomol International Inc.	yes		GeneID:2224 (inhibits FDPS)						
BRD-K05181463-001-01-6	BRD-K05181463	"L-741,626"	Biomol International Inc.									
BRD-K05236810-001-05-9	BRD-K05236810	Luteolin	Prestwick Chemical Inc.	yes		GeneID:7150 (inhibits TOP1)						
BRD-K05395900-322-02-1	BRD-K05395900	NICOTINE DITARTRATE	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000306 (activates Nicotinic acetylcholine receptor)	GeneID:1139 (activates CHRNA7)		MeSH:D013375 (Substance Withdrawal Syndrome)				
BRD-K05434375-001-04-0	BRD-K05434375	HA-1004	Biomol International Inc.	yes			GO:0016301 (inhibits kinase activity)					
BRD-K05528470-001-01-9	BRD-K05528470	"L-745,870"	Biomol International Inc.	yes		GeneID:1815 (inhibits DRD4)						
BRD-K05653692-001-02-5	BRD-K05653692	DL-PDMP	Biomol International Inc.	yes				MeSH:D009362 (Neoplasm Metastasis)	UseClass:8066 (anti-neoplastic);UseClass:8065 (anti-proliferative)			
BRD-K05673000-323-02-8	BRD-K05673000	Dicloxacillin sodium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K05737787-001-02-2	BRD-K05737787	ISOEUGENITOL	MicroSource Discovery Systems Inc.									
BRD-K05901394-001-01-1	BRD-K05901394	S(+)-TERGURIDE	Biomol International Inc.									
BRD-K05906022-001-03-6	BRD-K05906022	LIMONIN	MicroSource Discovery Systems Inc.									
BRD-K05977355-001-02-6	BRD-K05977355	FLUCONAZOLE	MicroSource Discovery Systems Inc.	yes				"MeSH:D000163 (Acquired Immunodeficiency Syndrome);""MeSH:D002181 (Candidiasis, Vulvovaginal)"";MeSH:D009181 (Mycoses)"	UseClass:8105 (anti-fungal)			
BRD-K05977380-001-01-7	BRD-K05977380	1-(1-NAPHTHYL)PIPERAZINE	Biomol International Inc.									
BRD-K06147391-003-01-9	BRD-K06147391	TELENZEPINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-K06147391-300-03-5	BRD-K06147391	Telenzepine dihydrochloride	Prestwick Chemical Inc.									
BRD-K06181161-048-04-5	BRD-K06181161	Carbetapentane citrate	Prestwick Chemical Inc.	yes				MeSH:D003371 (Cough)	UseClass:8085 (anti-tussive)			
BRD-K06208435-001-02-9	BRD-K06208435	YS035	Biomol International Inc.	yes			GO:0005262 (inhibits calcium channel activity)					
BRD-K06439119-001-02-3	BRD-K06439119	N-METHYLANTHRANILIC ACID	MicroSource Discovery Systems Inc.									
BRD-K06467078-003-03-7	BRD-K06467078	Corynanthine hydrochloride	Prestwick Chemical Inc.	yes			GO:0004937 (inhibits alpha1-adrenergic receptor activity)					
BRD-K06854232-001-02-5	BRD-K06854232	AM-580	Biomol International Inc.	yes		GeneID:5914 (activates RARA);GeneID:5915 (activates RARB);GeneID:5916 (activates RARG)						
BRD-K06902185-001-05-2	BRD-K06902185	MINOXIDIL	Biomol International Inc.	yes	CBPROTID:1000252 (activates Soluble guanylate cyclase)	GeneID:5351 (inhibits PLOD1)	GO:0005267 (activates potassium channel activity)	MeSH:D000505 (Alopecia);MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)			
BRD-K07055988-001-02-4	BRD-K07055988	Tosyl-Phe-CMK (TPCK)	Biomol International Inc.									
BRD-K07079548-001-01-9	BRD-K07079548	R(-)-N-ALLYLNORAPOMORPHINE	Biomol International Inc.									
BRD-K07208025-001-06-5	BRD-K07208025	Trimethoprim	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K07212038-001-02-1	BRD-K07212038	SELINIDIN	MicroSource Discovery Systems Inc.									
BRD-K07220430-001-03-6	BRD-K07220430	Cinnarizine	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)						
BRD-K07396820-001-02-4	BRD-K07396820	8-IODOCATECHIN TETRAMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K07572174-001-02-2	BRD-K07572174	CURCUMIN	MicroSource Discovery Systems Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K07753030-003-01-0	BRD-K07753030	ACECAINIDE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-K07996107-001-03-3	BRD-K07996107	Harpagoside	Prestwick Chemical Inc.									
BRD-K08033334-003-02-7	BRD-K08033334	LINCOMYCIN HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent)			
BRD-K08109516-001-01-1	BRD-K08109516	"L-701,324"	Biomol International Inc.									
BRD-K08111712-001-02-7	BRD-K08111712	Chloramphenicol	Prestwick Chemical Inc.	yes				"MeSH:D001424 (Bacterial Infections);""MeSH:D016920 (Meningitis, Bacterial)"";MeSH:D012282 (Rickettsia Infections)"	UseClass:8104 (anti-bacterial)			
BRD-K08252256-236-05-6	BRD-K08252256	Diclofenac sodium	Prestwick Chemical Inc.	yes				"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis)"	UseClass:8071 (anti-inflammatory)			
BRD-K08273968-001-05-9	BRD-K08273968	Griseofulvin	Prestwick Chemical Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal);UseClass:8065 (anti-proliferative)			
BRD-K08303368-001-02-7	BRD-K08303368	CHLORPYRIFOS	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)			
BRD-K08362773-001-02-2	BRD-K08362773	MACLUROXANTHONE	MicroSource Discovery Systems Inc.									
BRD-K08493205-001-02-3	BRD-K08493205	SALICYL ALCOHOL	MicroSource Discovery Systems Inc.	yes					UseClass:8082 (anesthetic)			
BRD-K08554278-001-02-4	BRD-K08554278	Hoechst  33342 (cell permeable) (BisBenzimide)	Biomol International Inc.									
BRD-K08556791-001-02-7	BRD-K08556791	ETHOPROP	MicroSource Discovery Systems Inc.	yes					UseClass:8107 (anti-parasitic);UseClass:8149 (insecticide)			
BRD-K08618283-001-02-0	BRD-K08618283	PROPANIL	MicroSource Discovery Systems Inc.									
BRD-K08619574-334-03-9	BRD-K08619574	Thioproperazine dimesylate	Prestwick Chemical Inc.									
BRD-K08714182-001-01-1	BRD-K08714182	SERICETIN DIMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K08814982-001-02-9	BRD-K08814982	RHETSININE	MicroSource Discovery Systems Inc.									
BRD-K08825053-001-02-9	BRD-K08825053	"QUERCETIN TETRAMETHYL (5,7,3',4') ETHER"	MicroSource Discovery Systems Inc.									
BRD-K08832567-001-02-4	BRD-K08832567	NARINGENIN	MicroSource Discovery Systems Inc.	yes				MeSH:D010437 (Peptic Ulcer)	UseClass:8125 (gastrointestinal agent)			
BRD-K08973992-001-03-9	BRD-K08973992	LINOLEIC ACID	Biomol International Inc.									
BRD-K09100418-001-02-6	BRD-K09100418	"7-HYDROXY-8,4'-DIMETHOXYISOFLAVONE"	MicroSource Discovery Systems Inc.									
BRD-K09203354-001-02-4	BRD-K09203354	7-HYDROXY-2'-METHOXYISOFLAVONE	MicroSource Discovery Systems Inc.									
BRD-K09397065-001-01-6	BRD-K09397065	SR 57227A	Biomol International Inc.									
BRD-K09416995-001-06-8	BRD-K09416995	Mevinolin (lovastatin)	Biomol International Inc.	yes		GeneID:3156 (inhibits HMGCR)		MeSH:D006949 (Hyperlipidemias)	UseClass:8097 (anti-hyperlipidemic)			
BRD-K09497549-001-03-6	BRD-K09497549	Kawain	Prestwick Chemical Inc.									
BRD-K09635134-001-02-4	BRD-K09635134	"MAPP, L-erythro"	Biomol International Inc.									
BRD-K09668667-001-02-0	BRD-K09668667	BENZO[a]PYRENE	MicroSource Discovery Systems Inc.									
BRD-K09778810-001-01-5	BRD-K09778810	FGIN-1-27	Biomol International Inc.	yes		GeneID:13167 (activates Dbi);GeneID:1622 (binds DBI)	GO:0006915 (activates apoptosis);GO:0006694 (activates steroid biosynthetic process);GO:0006350 (activates transcription);GO:0008503 (binds benzodiazepine receptor activity);GO:0042596 (inhibits fear response)					
BRD-K09821361-066-05-0	BRD-K09821361	Deferoxamine mesylate	Prestwick Chemical Inc.									
BRD-K09859624-004-03-9	BRD-K09859624	Methantheline bromide	Prestwick Chemical Inc.									
BRD-K09963420-066-03-4	BRD-K09963420	Saquinavir mesylate	Prestwick Chemical Inc.									
BRD-K10042277-001-02-7	BRD-K10042277	N-DESMETHYLCLOZAPINE	Biomol International Inc.									
BRD-K10065684-001-03-3	BRD-K10065684	DANTRON	MicroSource Discovery Systems Inc.	yes				MeSH:D003248 (Constipation)	UseClass:8130 (laxative)			
BRD-K10171338-001-02-1	BRD-K10171338	ACETYLTRYPTOPHANAMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8135 (nutritive agent)			
BRD-K10176267-001-01-7	BRD-K10176267	"L-701,252"	Biomol International Inc.									
BRD-K10314788-003-04-4	BRD-K10314788	Meclofenoxate hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8113 (cns agent)			
BRD-K10505056-001-02-0	BRD-K10505056	ISOTECTORIGENIN TRIMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K10670311-001-06-4	BRD-K10670311	Sulfasalazine	Prestwick Chemical Inc.									
BRD-K10671814-001-05-6	BRD-K10671814	Sulfaphenazole	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K10870738-001-02-4	BRD-K10870738	CDC	Biomol International Inc.									
BRD-K10990317-001-01-1	BRD-K10990317	CLOTHIAPINE	Biomol International Inc.									
BRD-K10995081-001-05-5	BRD-K10995081	Perphenazine	Prestwick Chemical Inc.	yes					UseClass:8117 (tranquilizer)			
BRD-K11129031-001-05-1	BRD-K11129031	Gemfibrozil	Prestwick Chemical Inc.	yes					UseClass:8096 (anti-lipemic);UseClass:8089 (cardiovascular agent)			
BRD-K11196887-001-05-5	BRD-K11196887	Norfloxacin	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K11399644-003-03-0	BRD-K11399644	Phenformin hydrochloride	Prestwick Chemical Inc.									
BRD-K11640013-001-02-6	BRD-K11640013	SULFAMETHAZINE	MicroSource Discovery Systems Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K11640013-236-03-6	BRD-K11640013	Sulfamethazine sodium salt	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K11717138-001-03-0	BRD-K11717138	Benzbromarone	Prestwick Chemical Inc.									
BRD-K11742128-003-05-1	BRD-K11742128	Triprolidine hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-K11756522-001-03-2	BRD-K11756522	FURAZOLIDONE	MicroSource Discovery Systems Inc.									
BRD-K11796549-001-01-1	BRD-K11796549	"2,3-DIOXO-6-NITRO-1,2,3,4-TETRAHYDROBENZO[F]QUINOXALINE-7-SULFONAMIDE"	Biomol International Inc.	yes			GO:0004970 (activates ionotropic glutamate receptor activity)					
BRD-K11813414-001-02-4	BRD-K11813414	2-ISOPROPYL-3-METHOXYCINNAMIC ACID	MicroSource Discovery Systems Inc.									
BRD-K12102668-001-04-0	BRD-K12102668	Nialamide	Prestwick Chemical Inc.									
BRD-K12219985-001-04-8	BRD-K12219985	GLIPIZIDE	Biomol International Inc.	yes			GO:0005267 (inhibits potassium channel activity)	"MeSH:D003924 (Diabetes Mellitus, Type 2);MeSH:D008659 (Metabolic Diseases)"				
BRD-K12260308-001-02-6	BRD-K12260308	XANTHOXYLIN	MicroSource Discovery Systems Inc.									
BRD-K12336887-001-02-3	BRD-K12336887	2-HYDROXYXANTHONE	MicroSource Discovery Systems Inc.									
BRD-K12345912-001-02-3	BRD-K12345912	JUAREZIC ACID	MicroSource Discovery Systems Inc.									
BRD-K12427081-001-02-4	BRD-K12427081	MENTHYL BENZOATE	MicroSource Discovery Systems Inc.									
BRD-K12513978-001-05-0	BRD-K12513978	Fenbufen	Prestwick Chemical Inc.	yes			GO:0004955 (inhibits prostaglandin receptor activity)	MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-K12568846-001-04-7	BRD-K12568846	Amidopyrine	Prestwick Chemical Inc.									
BRD-K12630395-003-03-8	BRD-K12630395	Harmane hydrochloride	Prestwick Chemical Inc.									
BRD-K12807006-001-05-2	BRD-K12807006	Kaempferol	Prestwick Chemical Inc.	yes		GeneID:5742 (inhibits PTGS1);GeneID:7150 (inhibits TOP1)	GO:0006915 (inhibits apoptosis);GO:0006266 (inhibits DNA ligation);GO:0008131 (inhibits primary amine oxidase activity)					
BRD-K12906962-001-02-1	BRD-K12906962	DICHLOROBENZAMIL	Biomol International Inc.									
BRD-K12968785-001-03-4	BRD-K12968785	BERGAPTEN	MicroSource Discovery Systems Inc.	yes				MeSH:D011565 (Psoriasis)	UseClass:8076 (anti-psoriatic)			
BRD-K12994359-001-02-8	BRD-K12994359	VALDECOXIB	MicroSource Discovery Systems Inc.	yes		GeneID:5743 (affects PTGS2);GeneID:771 (inhibits CA12);GeneID:759 (inhibits CA1);GeneID:760 (inhibits CA2);GeneID:768 (inhibits CA9);GeneID:5742 (inhibits PTGS1);GeneID:29527 (inhibits Ptgs2);GeneID:5743 (inhibits PTGS2)	GO:0019369 (affects arachidonic acid metabolic process);GO:0019371 (affects cyclooxygenase pathway);GO:0006730 (inhibits one-carbon metabolic process);GO:0001516 (inhibits prostaglandin biosynthetic process)	"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D004412 (Dysmenorrhea);MeSH:D010003 (Osteoarthritis);""MeSH:D010149 (Pain, Postoperative)"""	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-K13079976-001-02-0	BRD-K13079976	K252A	Biomol International Inc.									
BRD-K13211965-001-01-4	BRD-K13211965	"L-741,742"	Biomol International Inc.									
BRD-K13261168-001-01-4	BRD-K13261168	"LY-163,502"	Biomol International Inc.									
BRD-K13533483-001-03-0	BRD-K13533483	Cyclosporin A	Prestwick Chemical Inc.									
BRD-K13544237-001-01-0	BRD-K13544237	R(-)-PROPYLNORAPOMORPHINE	Biomol International Inc.									
BRD-K13819402-003-02-9	BRD-K13819402	DESOXYPEGANINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-K13926615-003-01-7	BRD-K13926615	VARDENAFIL HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-K13994703-003-04-2	BRD-K13994703	(R)-Propranolol hydrochloride	Prestwick Chemical Inc.									
BRD-K14200658-001-02-6	BRD-K14200658	Syrosingopine	Prestwick Chemical Inc.									
BRD-K14204120-003-02-4	BRD-K14204120	Ranitidine hydrochloride	Prestwick Chemical Inc.									
BRD-K14262397-001-03-0	BRD-K14262397	3-PRENYL-4-HYDROXYACETOPHENONE	MicroSource Discovery Systems Inc.									
BRD-K14282469-001-01-5	BRD-K14282469	"LY-165,163"	Biomol International Inc.									
